ID,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer
1,1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0,1,
2, Beyblade Burst,3DS,2016,Role-Playing,FuRyu,0,0,0.03,0,0.03,
3, Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.81,0.23,0.52,0.11,1.68,
4, Frozen: Olaf's Quest,3DS,2013,Platform,Disney Interactive Studios,0.27,0.27,0,0.05,0.6,
5, Frozen: Olaf's Quest,DS,2013,Platform,Disney Interactive Studios,0.21,0.26,0,0.04,0.52,
6, Haikyu!! Cross Team Match!,3DS,2016,Adventure,Namco Bandai Games,0,0,0.04,0,0.04,
7, Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,Bandai Namco Games
8,.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17,
9,.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,Namco Bandai Games,0.11,0.09,0,0.03,0.23,
10,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.16,0,0.16,
11,.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17,
12,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,CyberConnect2
13,.hack//Link,PSP,2010,Role-Playing,Namco Bandai Games,0,0,0.14,0,0.14,
14,.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,CyberConnect2
15,.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,CyberConnect2
16,.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,Atari,0.09,0.07,0,0.02,0.18,
17,.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,Namco Bandai Games,0,0,0.03,0,0.03,
18,[Prototype 2],X360,2012,Action,Activision,0.48,0.24,0,0.07,0.79,Radical Entertainment
19,[Prototype 2],PS3,2012,Action,Activision,0.36,0.28,0,0.1,0.74,Radical Entertainment
20,[Prototype 2],PC,2012,Action,Activision,0.07,0.03,0,0.01,0.11,Radical Entertainment
21,[Prototype],X360,2009,Action,Activision,0.84,0.35,0,0.12,1.31,Radical Entertainment
22,[Prototype],PS3,2009,Action,Activision,0.65,0.4,0,0.19,1.24,Radical Entertainment
